carid,name,brand,fueltype,vehicletype,locations,price,available,popular
t001,Corolla,Toyoto,petrol,sedan,"Sydney, Mumbai, Singapore",20,20,TRUE
t002,Hilander,Toyoto,petrol,SUV,Singapore,25,15,TRUE
t003,Alphard,Toyoto,petrol,MPV,Singapore,25,10,FALSE
t004,Yuan,BYD,EMV,sedan,Singapore,35,30,FALSE
t005,RAV4,Toyoto,Hybrid,SUV,"Sydney, Singapore",30,25,TRUE
t006,Corolla,Toyoto,Hybrid,Hatch,"Sydney, Singapore",12,30,TRUE
t007,Camry,Toyoto,Hybrid,Hatch,"Sydney, Mumbai, Singapore",25,15,FALSE
t008,Yarris,Toyoto,petrol,Hatch,Sydney,12,10,FALSE
t009,Elantra,Hyundai,petrol,sedan,"Sydney, Mumbai, Singapore",20,12,FALSE
t010,i30,Hyundai,petrol,Hatch,"Sydney, Mumbai, Singapore",12,35,TRUE
t011,Kona,Hyundai,Hybrid,SUV,Sydney,25,15,FALSE
t012,CRV,Honda,petrol,SUV,"Sydney, Mumbai, Singapore",30,20,TRUE
t013,HRV,Honda,petrol,SUV,Sydney,25,12,FALSE
t014,City,Honda,petrol,sedan,"Sydney, Mumbai, Singapore",20,30,TRUE
t015,Civic,Honda,petrol,sedan,"Sydney, Mumbai, Singapore",20,20,FALSE
t016,S,Tesla,EMV,sedan,"Sydney, Singapore",30,10,TRUE
t017,Baleno,Suzuki,petrol,Hatch,"Mumbai, Singapore",15,25,TRUE
t018,Swift,Suzuki,petrol,Sedan,Mumbai,15,30,TRUE
t019,VITARA,Suzuki,petrol,SUV,"Sydney, Mumbai, Singapore",25,10,FALSE
t020,Ignis,Suzuki,petrol,SUV,"Sydney, Mumbai",20,10,FALSE
t021,ASX,Mitsubishi,petrol,SUV,"Sydney, Mumbai, Singapore",20,20,TRUE
t022,Outlander,Mitsubishi,petrol,SUV,"Sydney, Singapore",35,10,TRUE
t023,Pajero,Mitsubishi,petrol,SUV,"Sydney, Singapore",50,5,FALSE
t024,Sorento,Kia,petrol,MPV,Sydney,50,7,FALSE
t025,Sportage,Kia,petrol,SUV,"Sydney, Singapore",35,12,TRUE
t026,EV9,Kia,EMV,SUV,Sydney,35,7,FALSE
t027,Cerato,Kia,petrol,Hatch,"Sydney, Mumbai, Singapore",15,25,TRUE